method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,-0.0465608783390325,0.996999934154785,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0389331375494643,0.971537633436313,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.000453109960900974,0.489258850752506,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0568882103446611,0.115055106815386,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0194997214301938,0.900809086651551,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0633535382309594,0.977566992405539,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0237612638195465,0.169348031997451,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.022573794206099,0.884465315508855,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.00853488073272733,0.314844432791278,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0302210556542686,0.063006588413637,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0231993838455158,0.858275959737503,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0058377123327698,0.651105355535978,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0198688913725106,0.820316217321408,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0315099304971687,0.187641411869042,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0343700799145644,0.930666377590469,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.00746628966637505,0.701188265089792,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0270713653319214,0.12862177673076,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.00573649137124257,0.394890329639232,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0333584886334278,0.909668589470636,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.00141001336314459,0.530984032078473,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0241942345232606,0.874013541787618,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0215298719571036,0.877234887577333,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,1.1239355898744,4.64956302158886e-18,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,1.01291010651132,8.05479428918065e-16,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.0223620992490657,0.149382157077353,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.381798264258128,3.16032172760135e-07,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.164391700098237,0.000170319771739677,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,2.54656238230638,2.47848329657395e-30,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.0105095021758105,0.298764404536288,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.23784171518069,0.000129344954503051,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.167745429668258,0.000214314369190364,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.945550790849499,5.13936581969832e-11,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.96693385356337,8.0515494749346e-14,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.240016462806523,0.000195753159032589,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.144697049574096,5.44219700974309e-05,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,1.01526174731558,4.78481516291611e-16,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.279396675274414,3.12691938965142e-05,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.230425158195188,3.49388566314605e-06,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,-0.0073116217233722,0.604889125198309,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
CPI-DNN,0.321580284381201,4.81722606017058e-07,0.911839170085569,1155.507,0.8,0,1000,regression,FALSE,FALSE,4
