,Method,correlation,n_samples,prob_data,iteration,V1
204,Permfit-DNN,0.5,300,regression_perm,4,0.631578947368421
205,Permfit-DNN,0.5,300,regression_perm,5,0.734736842105264
206,Permfit-DNN,0.5,300,regression_perm,6,0.72421052631579
207,Permfit-DNN,0.5,300,regression_perm,7,0.762105263157896
208,Permfit-DNN,0.5,300,regression_perm,8,0.690526315789474
209,Permfit-DNN,0.5,300,regression_perm,9,0.736842105263158
210,Permfit-DNN,0.5,300,regression_perm,10,0.795789473684211
211,Permfit-DNN,0.5,300,regression_perm,11,0.738947368421053
212,Permfit-DNN,0.5,300,regression_perm,12,0.68842105263158
213,Permfit-DNN,0.5,300,regression_perm,13,0.715789473684211
214,Permfit-DNN,0.5,300,regression_perm,14,0.720000000000001
215,Permfit-DNN,0.5,300,regression_perm,15,0.80421052631579
216,Permfit-DNN,0.5,300,regression_perm,16,0.473684210526316
217,Permfit-DNN,0.5,300,regression_perm,17,0.785263157894737
218,Permfit-DNN,0.5,300,regression_perm,18,0.652631578947368
219,Permfit-DNN,0.5,300,regression_perm,19,0.818947368421053
220,Permfit-DNN,0.5,300,regression_perm,20,0.882105263157895
221,Permfit-DNN,0.5,300,regression_perm,21,0.665263157894737
222,Permfit-DNN,0.5,300,regression_perm,22,0.751578947368421
223,Permfit-DNN,0.5,300,regression_perm,23,0.557894736842106
224,Permfit-DNN,0.5,300,regression_perm,24,0.654736842105263
225,Permfit-DNN,0.5,300,regression_perm,25,0.846315789473684
226,Permfit-DNN,0.5,300,regression_perm,26,0.854736842105263
227,Permfit-DNN,0.5,300,regression_perm,27,0.852631578947368
228,Permfit-DNN,0.5,300,regression_perm,28,0.488421052631579
229,Permfit-DNN,0.5,300,regression_perm,29,0.635789473684211
230,Permfit-DNN,0.5,300,regression_perm,30,0.677894736842105
231,Permfit-DNN,0.5,300,regression_perm,31,0.701052631578948
232,Permfit-DNN,0.5,300,regression_perm,32,0.732631578947369
233,Permfit-DNN,0.5,300,regression_perm,33,0.694736842105263
