,Method,correlation,n_samples,prob_data,iteration,V1
165,Permfit-DNN,0.2,300,regression_perm,65,0.042105263157895
166,Permfit-DNN,0.2,300,regression_perm,66,0.052631578947368
167,Permfit-DNN,0.2,300,regression_perm,67,0.031578947368421
168,Permfit-DNN,0.2,300,regression_perm,68,0.105263157894737
169,Permfit-DNN,0.2,300,regression_perm,69,0.105263157894737
170,Permfit-DNN,0.2,300,regression_perm,70,0.052631578947368
171,Permfit-DNN,0.2,300,regression_perm,71,0.08421052631579
172,Permfit-DNN,0.2,300,regression_perm,72,0.031578947368421
173,Permfit-DNN,0.2,300,regression_perm,73,0.042105263157895
174,Permfit-DNN,0.2,300,regression_perm,74,0.021052631578947
175,Permfit-DNN,0.2,300,regression_perm,75,0.042105263157895
176,Permfit-DNN,0.2,300,regression_perm,76,0.010526315789474
177,Permfit-DNN,0.2,300,regression_perm,77,0.157894736842105
178,Permfit-DNN,0.2,300,regression_perm,78,0.042105263157895
179,Permfit-DNN,0.2,300,regression_perm,79,0.031578947368421
180,Permfit-DNN,0.2,300,regression_perm,80,0.063157894736842
181,Permfit-DNN,0.2,300,regression_perm,81,0.073684210526316
182,Permfit-DNN,0.2,300,regression_perm,82,0.063157894736842
183,Permfit-DNN,0.2,300,regression_perm,83,0.042105263157895
184,Permfit-DNN,0.2,300,regression_perm,84,0.147368421052632
185,Permfit-DNN,0.2,300,regression_perm,85,0.08421052631579
186,Permfit-DNN,0.2,300,regression_perm,86,0.073684210526316
187,Permfit-DNN,0.2,300,regression_perm,87,0.105263157894737
188,Permfit-DNN,0.2,300,regression_perm,88,0.073684210526316
189,Permfit-DNN,0.2,300,regression_perm,89,0.073684210526316
190,Permfit-DNN,0.2,300,regression_perm,90,0.094736842105263
191,Permfit-DNN,0.2,300,regression_perm,91,0.115789473684211
192,Permfit-DNN,0.2,300,regression_perm,92,0.126315789473684
193,Permfit-DNN,0.2,300,regression_perm,93,0.105263157894737
194,Permfit-DNN,0.2,300,regression_perm,94,0.063157894736842
195,Permfit-DNN,0.2,300,regression_perm,95,0.105263157894737
196,Permfit-DNN,0.2,300,regression_perm,96,0.115789473684211
197,Permfit-DNN,0.2,300,regression_perm,97,0.063157894736842
198,Permfit-DNN,0.2,300,regression_perm,98,0.168421052631579
199,Permfit-DNN,0.2,300,regression_perm,99,0.073684210526316
200,Permfit-DNN,0.2,300,regression_perm,100,0.115789473684211
201,Permfit-DNN,0.5,300,regression_perm,1,0.031578947368421
202,Permfit-DNN,0.5,300,regression_perm,2,0.063157894736842
203,Permfit-DNN,0.5,300,regression_perm,3,0.178947368421053
204,Permfit-DNN,0.5,300,regression_perm,4,0.115789473684211
205,Permfit-DNN,0.5,300,regression_perm,5,0.126315789473684
206,Permfit-DNN,0.5,300,regression_perm,6,0.052631578947368
207,Permfit-DNN,0.5,300,regression_perm,7,0.157894736842105
208,Permfit-DNN,0.5,300,regression_perm,8,0.147368421052632
209,Permfit-DNN,0.5,300,regression_perm,9,0.105263157894737
210,Permfit-DNN,0.5,300,regression_perm,10,0.147368421052632
211,Permfit-DNN,0.5,300,regression_perm,11,0.094736842105263
212,Permfit-DNN,0.5,300,regression_perm,12,0.126315789473684
213,Permfit-DNN,0.5,300,regression_perm,13,0.115789473684211
214,Permfit-DNN,0.5,300,regression_perm,14,0.094736842105263
215,Permfit-DNN,0.5,300,regression_perm,15,0.168421052631579
216,Permfit-DNN,0.5,300,regression_perm,16,0.126315789473684
217,Permfit-DNN,0.5,300,regression_perm,17,0.189473684210526
218,Permfit-DNN,0.5,300,regression_perm,18,0.157894736842105
219,Permfit-DNN,0.5,300,regression_perm,19,0.115789473684211
220,Permfit-DNN,0.5,300,regression_perm,20,0.094736842105263
221,Permfit-DNN,0.5,300,regression_perm,21,0.094736842105263
222,Permfit-DNN,0.5,300,regression_perm,22,0.073684210526316
223,Permfit-DNN,0.5,300,regression_perm,23,0.105263157894737
224,Permfit-DNN,0.5,300,regression_perm,24,0.105263157894737
225,Permfit-DNN,0.5,300,regression_perm,25,0.105263157894737
226,Permfit-DNN,0.5,300,regression_perm,26,0.105263157894737
227,Permfit-DNN,0.5,300,regression_perm,27,0.115789473684211
228,Permfit-DNN,0.5,300,regression_perm,28,0.115789473684211
229,Permfit-DNN,0.5,300,regression_perm,29,0.126315789473684
230,Permfit-DNN,0.5,300,regression_perm,30,0.252631578947368
231,Permfit-DNN,0.5,300,regression_perm,31,0.073684210526316
232,Permfit-DNN,0.5,300,regression_perm,32,0.126315789473684
233,Permfit-DNN,0.5,300,regression_perm,33,0.094736842105263
234,Permfit-DNN,0.5,300,regression_perm,34,0.073684210526316
235,Permfit-DNN,0.5,300,regression_perm,35,0.136842105263158
236,Permfit-DNN,0.5,300,regression_perm,36,0.136842105263158
237,Permfit-DNN,0.5,300,regression_perm,37,0.08421052631579
238,Permfit-DNN,0.5,300,regression_perm,38,0.168421052631579
239,Permfit-DNN,0.5,300,regression_perm,39,0.136842105263158
240,Permfit-DNN,0.5,300,regression_perm,40,0.178947368421053
241,Permfit-DNN,0.5,300,regression_perm,41,0.08421052631579
242,Permfit-DNN,0.5,300,regression_perm,42,0.178947368421053
243,Permfit-DNN,0.5,300,regression_perm,43,0.094736842105263
244,Permfit-DNN,0.5,300,regression_perm,44,0.147368421052632
245,Permfit-DNN,0.5,300,regression_perm,45,0.105263157894737
246,Permfit-DNN,0.5,300,regression_perm,46,0.115789473684211
247,Permfit-DNN,0.5,300,regression_perm,47,0.115789473684211
248,Permfit-DNN,0.5,300,regression_perm,48,0.052631578947368
249,Permfit-DNN,0.5,300,regression_perm,49,0.073684210526316
250,Permfit-DNN,0.5,300,regression_perm,50,0.031578947368421
251,Permfit-DNN,0.5,300,regression_perm,51,0.136842105263158
252,Permfit-DNN,0.5,300,regression_perm,52,0.105263157894737
253,Permfit-DNN,0.5,300,regression_perm,53,0.105263157894737
254,Permfit-DNN,0.5,300,regression_perm,54,0.147368421052632
255,Permfit-DNN,0.5,300,regression_perm,55,0.105263157894737
256,Permfit-DNN,0.5,300,regression_perm,56,0.147368421052632
257,Permfit-DNN,0.5,300,regression_perm,57,0.147368421052632
258,Permfit-DNN,0.5,300,regression_perm,58,0.147368421052632
259,Permfit-DNN,0.5,300,regression_perm,59,0.157894736842105
260,Permfit-DNN,0.5,300,regression_perm,60,0.094736842105263
261,Permfit-DNN,0.5,300,regression_perm,61,0.157894736842105
262,Permfit-DNN,0.5,300,regression_perm,62,0.189473684210526
263,Permfit-DNN,0.5,300,regression_perm,63,0.2
264,Permfit-DNN,0.5,300,regression_perm,64,0.094736842105263
265,Permfit-DNN,0.5,300,regression_perm,65,0.115789473684211
266,Permfit-DNN,0.5,300,regression_perm,66,0.136842105263158
267,Permfit-DNN,0.5,300,regression_perm,67,0.063157894736842
268,Permfit-DNN,0.5,300,regression_perm,68,0.115789473684211
269,Permfit-DNN,0.5,300,regression_perm,69,0.136842105263158
270,Permfit-DNN,0.5,300,regression_perm,70,0.126315789473684
271,Permfit-DNN,0.5,300,regression_perm,71,0.094736842105263
272,Permfit-DNN,0.5,300,regression_perm,72,0.126315789473684
273,Permfit-DNN,0.5,300,regression_perm,73,0.168421052631579
274,Permfit-DNN,0.5,300,regression_perm,74,0.052631578947368
275,Permfit-DNN,0.5,300,regression_perm,75,0.105263157894737
276,Permfit-DNN,0.5,300,regression_perm,76,0.210526315789474
277,Permfit-DNN,0.5,300,regression_perm,77,0.157894736842105
278,Permfit-DNN,0.5,300,regression_perm,78,0.136842105263158
279,Permfit-DNN,0.5,300,regression_perm,79,0.189473684210526
280,Permfit-DNN,0.5,300,regression_perm,80,0.178947368421053
281,Permfit-DNN,0.5,300,regression_perm,81,0.178947368421053
282,Permfit-DNN,0.5,300,regression_perm,82,0.147368421052632
283,Permfit-DNN,0.5,300,regression_perm,83,0.094736842105263
284,Permfit-DNN,0.5,300,regression_perm,84,0.115789473684211
285,Permfit-DNN,0.5,300,regression_perm,85,0.126315789473684
286,Permfit-DNN,0.5,300,regression_perm,86,0.08421052631579
287,Permfit-DNN,0.5,300,regression_perm,87,0.147368421052632
288,Permfit-DNN,0.5,300,regression_perm,88,0.126315789473684
289,Permfit-DNN,0.5,300,regression_perm,89,0.094736842105263
290,Permfit-DNN,0.5,300,regression_perm,90,0.136842105263158
291,Permfit-DNN,0.5,300,regression_perm,91,0.042105263157895
292,Permfit-DNN,0.5,300,regression_perm,92,0.126315789473684
293,Permfit-DNN,0.5,300,regression_perm,93,0.157894736842105
294,Permfit-DNN,0.5,300,regression_perm,94,0.115789473684211
295,Permfit-DNN,0.5,300,regression_perm,95,0.094736842105263
296,Permfit-DNN,0.5,300,regression_perm,96,0.08421052631579
297,Permfit-DNN,0.5,300,regression_perm,97,0.147368421052632
298,Permfit-DNN,0.5,300,regression_perm,98,0.231578947368421
299,Permfit-DNN,0.5,300,regression_perm,99,0.147368421052632
300,Permfit-DNN,0.5,300,regression_perm,100,0.136842105263158
301,Permfit-DNN,0.8,300,regression_perm,1,0.126315789473684
302,Permfit-DNN,0.8,300,regression_perm,2,0.284210526315789
303,Permfit-DNN,0.8,300,regression_perm,3,0.273684210526316
304,Permfit-DNN,0.8,300,regression_perm,4,0.189473684210526
305,Permfit-DNN,0.8,300,regression_perm,5,0.094736842105263
306,Permfit-DNN,0.8,300,regression_perm,6,0.210526315789474
307,Permfit-DNN,0.8,300,regression_perm,7,0.157894736842105
308,Permfit-DNN,0.8,300,regression_perm,8,0.284210526315789
309,Permfit-DNN,0.8,300,regression_perm,9,0.126315789473684
